split,label_source,n_positives,share_of_positives,mean_rain_7d_mm
dev,coolr_glc,7263,0.9026845637583892,100.99161896739773
dev,corridor_landslides,660,0.08202833706189411,76.67249716484875
dev,reliefweb_events,120,0.014914243102162566,0.08708973666665164
dev,verified_segment_label,3,0.0003728560775540641,43.99863066666512
locked test,coolr_glc,741,0.5525727069351231,84.67488948340083
locked test,corridor_landslides,480,0.3579418344519016,48.11021420937451
locked test,reliefweb_events,120,0.0894854586129754,13.193679333582804
