band,n,n_pos,base_rate
"[0,2.5)",47001,219,0.004659475330312121
"[2.5,10)",8541,555,0.06498068141903758
"[10,15)",6962,1311,0.18830795748348175
"[15,20)",11417,1617,0.14163090128755365
"[20,25)",12146,2058,0.16943849827103574
"[25,30)",6161,1101,0.1787047557214738
"[30,40)",1856,387,0.20851293103448276
"[40,90)",108,18,0.16666666666666666
