seed,v2_AP,v1_monotone_AP,delta,p_value,folds_improved,verdict,deltas
42,0.3918244926033641,0.39029562203140317,0.0015288705719609164,0.75,2,not demonstrated,"[-0.002495213266718088, 0.006272394067379339, -0.005484377318886513, 0.014769743465008589, -0.005418194086978745]"
1337,0.41688223546195396,0.3940906252504025,0.022791610211551384,0.1875,4,not demonstrated,"[0.08094652173984707, 0.0004468142073877912, -0.004469529956573848, 0.028835097015759703, 0.008199148051336203]"
2024,0.39823798857912773,0.3932738314040778,0.004964157175049999,0.375,3,not demonstrated,"[-0.007356101010900451, 0.016876945216852124, -0.001914145022140712, 0.014544005070949606, 0.0026700816204894284]"
