stratum,n,n_pos,threshold,precision,recall
0,47052,270,0.03268641470888662,0.0631424375917768,0.15925925925925927
1,8619,633,0.0821917808219178,0.20809007506255212,0.7883096366508688
2,18730,3279,0.05667060212514758,0.2109618776285443,0.9484598963098506
3,20568,3861,0.008264462809917356,0.18922102783095274,0.9984459984459985
