stratum_type,stratum,n,n_pos,predicted,observed,pred_over_obs,ece,brier,variant
overall,all,94969,8043,0.08906534107468099,0.08469079383798923,1.051653161323061,0.019593842208351652,0.06855650870454738,global_isotonic
spatial_fold,fold 0,21631,2568,0.09939753873332402,0.1187185058480884,0.8372539565188987,0.05571274543902571,0.08620513119093345,global_isotonic
spatial_fold,fold 1,17549,2286,0.0866630377650731,0.13026383269701977,0.6652885606908433,0.04360079493194669,0.08173581133597439,global_isotonic
spatial_fold,fold 2,20629,1449,0.043765618736358085,0.07024092297251443,0.6230786396910496,0.02810301442765556,0.057423401540216266,global_isotonic
spatial_fold,fold 3,20266,891,0.14915831585917863,0.04396526201519787,3.3926402123480517,0.10519305384398075,0.06490894478536344,global_isotonic
spatial_fold,fold 4,14894,849,0.05786526039526877,0.057002819927487576,1.0151297860154689,0.009764947276475464,0.047779381216782935,global_isotonic
slope_deg,"[0, 2.5)",47052,270,0.015572396950079077,0.005738332058148432,2.7137497085004467,0.009834064891930647,0.006202394002927212,global_isotonic
slope_deg,"[2.5, 10)",8619,633,0.07827600648407393,0.07344239470936303,1.0658150077191677,0.009277118946477892,0.05790250194407068,global_isotonic
slope_deg,"[10, 20)",18730,3279,0.18293411258020048,0.17506673785371063,1.0449392889988274,0.051616073249921214,0.14172241542571018,global_isotonic
slope_deg,"[20, 90)",20568,3861,0.17623089880945497,0.18771878646441073,0.938802674621308,0.06467200635677904,0.14903663590805769,global_isotonic
season,monsoon,70360,6703,0.10175015962665351,0.0952671972711768,1.0680503105074357,0.02483983336888033,0.0768317593372099,global_isotonic
season,dry,24609,1340,0.05279796599577539,0.05445162338981673,0.969630705365699,0.010882057875130129,0.04489660238921007,global_isotonic
overall,all,94969,8043,0.08929445105886027,0.08469079383798923,1.05435841385166,0.019272000156955356,0.06956971152264277,per_slope_isotonic
spatial_fold,fold 0,21631,2568,0.09037876550265524,0.1187185058480884,0.7612862447772334,0.046696835089736655,0.08573681152629468,per_slope_isotonic
spatial_fold,fold 1,17549,2286,0.08793241215819678,0.13026383269701977,0.6750332025215202,0.042445383955541906,0.08363806781060133,per_slope_isotonic
spatial_fold,fold 2,20629,1449,0.04622119218838682,0.07024092297251443,0.6580379390298355,0.025479393921435823,0.05700439905316774,per_slope_isotonic
spatial_fold,fold 3,20266,891,0.15399474525405918,0.04396526201519787,3.502645911693337,0.11002948323886134,0.0685421575666385,per_slope_isotonic
spatial_fold,fold 4,14894,849,0.06094677481427254,0.057002819927487576,1.0691887680609837,0.009313601761401842,0.048315388622737016,per_slope_isotonic
slope_deg,"[0, 2.5)",47052,270,0.0075464500580124825,0.005738332058148432,1.3150946967763086,0.00180811799986405,0.005938355936358697,per_slope_isotonic
slope_deg,"[2.5, 10)",8619,633,0.07432159101987014,0.07344239470936303,1.0119712369672365,0.018587002954755308,0.05982717604309671,per_slope_isotonic
slope_deg,"[10, 20)",18730,3279,0.18814463347056745,0.17506673785371063,1.0747023436729881,0.05699711377958096,0.14630444232254927,per_slope_isotonic
slope_deg,"[20, 90)",20568,3861,0.19256137575725932,0.18771878646441073,1.0257970413300466,0.04705513106376823,0.14933983737162163,per_slope_isotonic
season,monsoon,70360,6703,0.10069642351480726,0.0952671972711768,1.0569894612116721,0.02342145675869587,0.0779611504862312,per_slope_isotonic
season,dry,24609,1340,0.05669488252700488,0.05445162338981673,1.041197286647062,0.009379613285504972,0.0455776092235619,per_slope_isotonic
