cost_fn_over_fp,threshold,precision,recall,f1,fp,fn,fp_rate_of_neg,alerts_per_1000
5,0.16422840962718263,0.23588777219430485,0.7003605619793609,0.3529116937631175,18247,2410,0.20991417987713687,251.45047331234403
10,0.07368421052631578,0.21187059820567522,0.9014049484023374,0.3430978183711135,26969,793,0.31025239859190573,360.3175773147027
20,0.05667060212514758,0.20553404052309593,0.9106054954618923,0.33537101907182276,28310,719,0.32567931343901707,375.21717613115857
50,0.024494142705005325,0.16817155756207675,0.9633221434788014,0.2863531368382149,38324,295,0.44088074914294917,485.1267255630785
F3-optimal,0.07368421052631578,0.21187059820567522,0.9014049484023374,0.3430978183711135,26969,793,0.31025239859190573,360.3175773147027
