seed,arm,bar_AP,arm_AP,mean_delta,folds_improved,deltas
1337,aug/gaussian_all_s0.4,0.3576280138609239,0.3879007671404135,0.030272753279489594,2,"[0.10722188361238039, -0.033121440115826406, 0.11014497831149492, -0.012974055334436158, -0.019907600076164766]"
1337,loss/focal_g1.5,0.3576280138609239,0.38139723936035025,0.023769225499426377,4,"[0.04676706029674915, -0.02977243441954991, 0.052187837296461176, 0.026837747101027487, 0.02282591722244398]"
1337,loss/focal_g2.0,0.3576280138609239,0.38107540241198024,0.023447388551056374,4,"[0.039892671818694936, -0.03732749386325718, 0.05407781193284125, 0.02515627763399586, 0.035437675233007004]"
1337,aug/gaussian_all_s0.2,0.3576280138609239,0.38016216899236277,0.022534155131438853,3,"[0.07482618350511683, -0.026050036027451706, 0.06925483263217538, 0.003031114286691783, -0.008391318739338016]"
1337,aug/gaussian_all_s0.1,0.3576280138609239,0.3720278262962677,0.014399812435343873,2,"[0.06314924316353832, -0.023369897093395653, 0.06132744659036313, -0.016182846333550077, -0.012924884150236349]"
1337,aug/smote_k5_f0.5,0.3576280138609239,0.3752317466446683,0.01760373278374443,4,"[0.03491140585320407, 0.02604168828419884, -0.00018868653291581605, 0.017373371113208635, 0.009880885201026424]"
2024,aug/gaussian_all_s0.4,0.3539871477067539,0.38657496636467936,0.03258781865792545,4,"[0.03930745029905036, -0.013825269228093684, 0.1010494390006163, 0.018408627363879826, 0.01799884585417444]"
2024,loss/focal_g1.5,0.3539871477067539,0.365078988484852,0.011091840778098083,4,"[0.019448149695695638, -0.049648787194840116, 0.0346539028727022, 0.00854575066036345, 0.04246018785656924]"
2024,loss/focal_g2.0,0.3539871477067539,0.3648139160105991,0.010826768303845213,4,"[0.00849485289579932, -0.04941899842986275, 0.045353796666638635, 0.004498029054296637, 0.04520616133235422]"
2024,aug/gaussian_all_s0.2,0.3539871477067539,0.38777673479217056,0.0337895870854167,4,"[0.041809707988617606, -0.022901877374110202, 0.10290088188387325, 0.0186755278371048, 0.028463695091598018]"
2024,aug/gaussian_all_s0.1,0.3539871477067539,0.373706302755126,0.0197191550483721,4,"[0.0017212132484183407, -0.011203154410406979, 0.07198022537737808, 0.012189269198638192, 0.023908221827832865]"
2024,aug/smote_k5_f0.5,0.3539871477067539,0.36932573585997686,0.015338588153222903,4,"[0.0036045673505201714, 0.026727275762905234, 0.017193653764359662, -0.01711429146644941, 0.04628173535477886]"
7,aug/gaussian_all_s0.4,0.3587263050263862,0.3960788695684642,0.03735256454207807,3,"[0.10106845456482505, -0.038394060848319755, 0.11837068109333043, 0.015739941282034514, -0.010022193381479916]"
7,loss/focal_g1.5,0.3587263050263862,0.3859578554086184,0.027231550382232232,4,"[0.059355687692725145, -0.006697060289924228, 0.02664826680748575, 0.02796157671006444, 0.028889280990810062]"
7,loss/focal_g2.0,0.3587263050263862,0.3801912535876583,0.02146494856127216,4,"[0.03978909478233128, -0.011382069006407591, 0.0287348042789434, 0.025758393739844815, 0.024424519011648882]"
7,aug/gaussian_all_s0.2,0.3587263050263862,0.39906417068750033,0.040337865661114206,3,"[0.08509510439946133, -0.015006024652788219, 0.13055885507900972, 0.00257579077159778, -0.001534397291709566]"
7,aug/gaussian_all_s0.1,0.3587263050263862,0.3773151752059075,0.0185888701795213,2,"[0.0814971215779361, -0.010334782757587924, 0.06227773749618887, -0.0062972906225152725, -0.03419843479641527]"
7,aug/smote_k5_f0.5,0.3587263050263862,0.36979900862252846,0.011072703596142236,3,"[0.056683115004828255, 0.0049535962262166056, 0.01771163766857245, -0.014133652617506542, -0.009851178301399588]"
