threshold,precision,recall
1e-06,0.08469079383798923,1.0
0.0001911483711544092,0.09734783671473968,0.990302126072361
0.0008250825082508251,0.09809475719546289,0.990302126072361
0.0009874105159219946,0.09852308149027757,0.990302126072361
0.001103448275862069,0.101150563852484,0.990302126072361
0.0017937219730941704,0.103184267799772,0.990302126072361
0.0019802357628700465,0.10420346167432003,0.990302126072361
0.00228310502283105,0.10478332938669192,0.990302126072361
0.0023752969121140144,0.10543384737573631,0.990302126072361
0.002680965147453083,0.10641797031688728,0.9895561357702349
0.003676470588235294,0.10728652034232337,0.9881884868830039
0.0050007576905591765,0.11397042851143324,0.9784906129553649
0.005406062078600498,0.11621881708490636,0.9760039786149447
0.0056022408963585435,0.1265422077922078,0.969165734178789
0.007039394102710666,0.12856459566888226,0.969165734178789
0.007725321888412017,0.1371417512623375,0.969165734178789
0.008205128205128205,0.13737861511076646,0.969165734178789
0.008849557522123894,0.13785282704608678,0.9673007584234738
0.009712609452379149,0.149603876624875,0.9673007584234738
0.010635068106263504,0.14975705691809346,0.9656844461022007
0.011345488808397499,0.1500231785521131,0.9656844461022007
0.012783265543288786,0.15259631819878583,0.9656844461022007
0.014957045850813134,0.16205162448093818,0.9655601143851796
0.016736401673640166,0.16272393923520168,0.9655601143851796
0.018018018018018018,0.16421890210352563,0.9648141240830536
0.019268525104478705,0.16649855134671102,0.9645654606490116
0.01991008637604925,0.16673837284343673,0.9636951386298644
0.022535211267605635,0.16691081430417923,0.9633221434788014
0.02702702702702703,0.16827815003164764,0.958597538232003
0.027318475916606758,0.16856686434558069,0.957727216212856
0.029589704277946105,0.17171172385896313,0.9500186497575531
0.030800821355236138,0.1717364892228772,0.9490239960213851
0.031746031746031744,0.1801592016157776,0.9426830784533134
0.03333138794714311,0.18066985645933015,0.9389531269426831
0.0340632603406326,0.18121031364248605,0.9367151560363048
0.035443037974683546,0.18132807047101013,0.9367151560363048
0.0379746835443038,0.18505241297468356,0.9306229019022753
0.041115156444699555,0.1862904639110733,0.9251523063533508
0.04176334106728538,0.18771288003027628,0.9250279746363297
0.043227665706051875,0.18967102574581118,0.9232873305980356
0.043478260869565216,0.190325891711573,0.9221683451448465
0.045454545454545456,0.19375294795870238,0.9193087156533631
0.04630515573028123,0.1956130126099396,0.918065398483153
0.0469924812030075,0.19566427265258526,0.9179410667661321
0.0480225988700565,0.19740329273189666,0.916822081312943
0.05,0.19799262707531684,0.9148327738406067
0.05263157894736842,0.20165016501650165,0.9116001491980604
0.05509641873278237,0.20426812280604,0.9116001491980604
0.05917434737398749,0.20547983859589716,0.9053835633470099
0.0607661822985469,0.20555022302523857,0.9052592316299888
0.06172839506172839,0.20742919141160346,0.9032699241576526
0.06349206349206349,0.2080075607870092,0.9030212607236106
0.06408026025309967,0.2091207651532611,0.9025239338555265
0.06779661016949153,0.2093029962222799,0.9023996021385056
0.07008547008547009,0.2094017094017094,0.9016536118363795
0.07272727272727272,0.21046825558103754,0.9014049484023374
0.07368421052631578,0.21187059820567522,0.9014049484023374
0.07526881720430108,0.21175224986765484,0.8951883625512869
0.07874015748031496,0.21283893669239184,0.8949396991172448
0.0821917808219178,0.21343132587479172,0.8918314061917195
0.08695652173913043,0.21331862101872837,0.8893447718512992
0.0880503144654088,0.21328492994509615,0.8838741763023747
0.09122660958302548,0.21509549274255158,0.8751709561109039
0.09302325581395349,0.21517089440347603,0.8743006340917568
0.0958904109589041,0.21436467481422342,0.8679597165236852
0.09860383944153576,0.21445805493689682,0.8619917941066766
0.10168281768870947,0.21423440866931076,0.8529155787641427
0.1030953594122851,0.21512120166828688,0.8529155787641427
0.10526315789473684,0.21492453007813725,0.8515479298769116
0.10993657505285412,0.2151133501259446,0.8494342906875544
0.1111111111111111,0.21560270253204522,0.8490612955364913
0.1134020618556701,0.21556203269547586,0.8459530026109661
0.11581807321226259,0.2164681842853038,0.8429690414024618
0.1171118718993133,0.21823966754326157,0.8357578018152431
0.11904761904761904,0.2183206106870229,0.8356334700982221
0.12187736563209692,0.21893820371825085,0.8316548551535496
0.12469481645904389,0.21997751620156064,0.8271789133407932
0.12546125461254612,0.21996627095664825,0.8270545816237722
0.1261682242990654,0.2203041648719393,0.8266815864727092
0.12790697674418605,0.22049988382514024,0.8259355961705831
0.1286549707602339,0.22142379679144386,0.8236976252642049
0.12912087912087913,0.22270923209663504,0.8023125699365908
0.12981118051436386,0.22383073496659242,0.7997016038791496
0.13313609467455623,0.2233698707138842,0.7905010568195947
0.1339110410028644,0.22348229790551796,0.7840358075345021
0.136986301369863,0.22349438162418914,0.783911475817481
0.14221218961625282,0.22329568154578142,0.7643913962451822
0.1437908496732026,0.22342401398448597,0.762775083923909
0.1480717198267816,0.22732333729216153,0.7615317667536988
0.15151515151515152,0.2279250065227925,0.7602884495834887
0.15384615384615385,0.22762148337595908,0.7524555514111649
0.15730337078651685,0.22789167686658507,0.7407683700111899
0.1581107673206616,0.22805942717108285,0.7405197065771478
0.16071428571428573,0.2300152302104893,0.732313813253761
0.16240409207161124,0.2304793971460638,0.7149073728708193
