fold,n_train,AP_train,AP_earlystop,AP_heldout_blocks,best_iteration
0,55339,0.9999979529744117,0.9986459696150127,0.44067643725926675,1200
1,56968,1.0,0.999833909869353,0.5362963124101675,1192
2,53830,0.9999027140659247,0.999244723907585,0.21809709546486117,1199
3,55823,0.9998992981279824,0.9992300876997302,0.18295112653346554,1200
4,61460,0.999830638857836,0.999186456412655,0.24560287980284357,1200
