variant,mean_AP,delta_AP,worst_fold_delta,folds_worse,seeds_negative,steep_roc_delta,cal_ratio,monotonicity_violations,non_inferior,decision,reason
trunc_0.1,0.3887438551022957,-0.012356584409789378,-0.06374892944221673,3,3,-0.012683345419102765,1.0998998959926967,0,False,REJECT,"removal breaks a guardrail: region: worst fold -0.0637 AP, beyond the A/A worst-fold floor -0.0396; steep terrain: ROC -0.0127 (tolerance -0.0100)"
trunc_0.25,0.3981346171735247,-0.0029658223385603476,-0.0330496102451446,3,1,0.0018785658230088265,1.0407635785335836,0,True,ACCEPT,"non-inferior (-0.0030 AP, margin 0.0100, 3/5 folds worse) — fewer moving parts for the same accuracy"
trunc_0.5,0.39869970051187875,-0.002400739000206333,-0.016727421975786323,3,2,0.0014250035295753083,1.030169945985031,0,True,ACCEPT,"non-inferior (-0.0024 AP, margin 0.0100, 3/5 folds worse) — fewer moving parts for the same accuracy"
fp32,0.40110043454721234,-4.964872712953649e-09,-2.4824363564768248e-08,1,1,-1.0100372982435601e-08,1.0443844574581265,0,True,ACCEPT,"non-inferior (-0.0000 AP, margin 0.0100, 1/5 folds worse) — fewer moving parts for the same accuracy"
fp16,0.40120662893938347,0.0001061894272983995,-0.00021770521348364139,1,0,6.253645855824885e-05,1.0441886566244394,0,True,ACCEPT,"non-inferior (+0.0001 AP, margin 0.0100, 1/5 folds worse) — fewer moving parts for the same accuracy"
distill_300,0.3964796791141868,-0.004620760397898314,-0.017374387158487898,3,2,-0.0016853078138121536,1.0423354828582327,0,True,ACCEPT,"non-inferior (-0.0046 AP, margin 0.0100, 3/5 folds worse) — fewer moving parts for the same accuracy"
