segment_id,date,target,label_tier,label_confidence,hazard,label_source,event_id,persist_day,snap_dist_m,seg_lon,seg_lat,p_cal,rain_3d_mm,api_mm,slope_mean_deg,spatial_fold
SEG247566,2025-02-04,1,bronze,0.479,landslide+flood,corridor_landslides,CLS-REL-00352,0,3224.7,88.46120111397026,26.96707986875391,0.0004154549231408392,0.0,1.8744043450047425,27.32537078857422,1
SEG247566,2025-02-05,1,bronze,0.3832,landslide+flood,corridor_landslides,CLS-REL-00352,1,3224.7,88.46120111397026,26.96707986875391,0.0004154549231408392,0.0,1.7169073542624482,27.32537078857422,1
SEG247566,2025-02-06,1,bronze,0.3832,landslide+flood,corridor_landslides,CLS-REL-00352,2,3224.7,88.46120111397026,26.96707986875391,0.0004154549231408392,0.0,1.5795547659214526,27.32537078857422,1
SEG247565,2025-02-04,1,bronze,0.4717,landslide+flood,corridor_landslides,CLS-REL-00352,0,3309.8,88.45879132263013,26.966959987365275,0.001092896174863388,0.0,1.8744043450047425,21.7002010345459,1
SEG247565,2025-02-05,1,bronze,0.3773,landslide+flood,corridor_landslides,CLS-REL-00352,1,3309.8,88.45879132263013,26.966959987365275,0.0019555555555555554,0.0,1.7169073542624482,21.7002010345459,1
SEG247565,2025-02-06,1,bronze,0.3773,landslide+flood,corridor_landslides,CLS-REL-00352,2,3309.8,88.45879132263013,26.966959987365275,0.0019555555555555554,0.0,1.5795547659214526,21.7002010345459,1
SEG247567,2025-02-04,1,bronze,0.4798,landslide+flood,corridor_landslides,CLS-REL-00352,0,3094.8,88.46280074861755,26.967917166286586,0.0019555555555555554,0.0,1.8744043450047425,26.04388427734375,1
SEG247567,2025-02-05,1,bronze,0.3838,landslide+flood,corridor_landslides,CLS-REL-00352,1,3094.8,88.46280074861755,26.967917166286586,0.0019555555555555554,0.0,1.7169073542624482,26.04388427734375,1
SEG247567,2025-02-06,1,bronze,0.3838,landslide+flood,corridor_landslides,CLS-REL-00352,2,3094.8,88.46280074861755,26.967917166286586,0.0019555555555555554,0.0,1.5795547659214526,26.04388427734375,1
SEG247599,2025-02-04,1,bronze,0.5779,landslide+flood,corridor_landslides,CLS-REL-00352,0,296.2,88.46938881431157,26.997607623301768,0.0019555555555555554,0.0,1.8744043450047425,18.428874969482425,1
SEG247599,2025-02-05,1,bronze,0.4623,landslide+flood,corridor_landslides,CLS-REL-00352,1,296.2,88.46938881431157,26.997607623301768,0.0019555555555555554,0.0,1.7169073542624482,18.428874969482425,1
SEG247599,2025-02-06,1,bronze,0.4623,landslide+flood,corridor_landslides,CLS-REL-00352,2,296.2,88.46938881431157,26.997607623301768,0.0019555555555555554,0.0,1.5795547659214526,18.428874969482425,1
SEG291648,2019-11-10,1,bronze,0.5741,landslide,corridor_landslides,CLS-REL-00329,0,193.1,88.26447225924238,27.03486104980405,0.0019555555555555554,1.1723936000016693,3.786558078879145,18.911048889160156,0
SEG291648,2019-11-11,1,bronze,0.4593,landslide,corridor_landslides,CLS-REL-00329,1,193.1,88.26447225924238,27.03486104980405,0.0019555555555555554,1.1723936000016693,3.334873895914402,18.911048889160156,0
SEG291648,2019-11-12,1,bronze,0.4593,landslide,corridor_landslides,CLS-REL-00329,2,193.1,88.26447225924238,27.03486104980405,0.0019555555555555554,1.7172570600014296,3.61294744424125,18.911048889160156,0
SEG247591,2025-02-04,1,bronze,0.5633,landslide+flood,corridor_landslides,CLS-REL-00352,0,320.0,88.47288880000063,26.99628615000734,0.0025929127052722557,0.0,1.8744043450047425,11.473762512207031,1
SEG289592,2010-06-18,1,bronze,0.2748,landslide,coolr_glc,GLC-1993,2,458.2,88.31184969630736,26.805921151490377,0.0025929127052722557,87.49991500000033,151.64217220122973,1.03018319606781,1
SEG289611,2010-06-18,1,bronze,0.2397,landslide,coolr_glc,GLC-1993,2,573.1,88.31043633776099,26.806977222801688,0.0025929127052722557,87.49991500000033,151.64217220122973,1.4467328786849976,1
SEG179268,2007-08-04,1,bronze,0.1974,landslide,coolr_glc,GLC-152,2,295.6,87.27870780893662,26.4590605883768,0.004337539432176656,17.281387770000038,239.79443298622056,1.891518235206604,4
SEG247590,2025-02-04,1,bronze,0.5646,landslide+flood,corridor_landslides,CLS-REL-00352,0,610.8,88.47402636965101,26.990840832084434,0.004337539432176656,0.0,1.8744043450047425,20.303937911987305,1
SEG247590,2025-02-05,1,bronze,0.4517,landslide+flood,corridor_landslides,CLS-REL-00352,1,610.8,88.47402636965101,26.990840832084434,0.004337539432176656,0.0,1.7169073542624482,20.303937911987305,1
SEG247590,2025-02-06,1,bronze,0.4517,landslide+flood,corridor_landslides,CLS-REL-00352,2,610.8,88.47402636965101,26.990840832084434,0.004337539432176656,0.0,1.5795547659214526,20.303937911987305,1
SEG247591,2025-02-05,1,bronze,0.4506,landslide+flood,corridor_landslides,CLS-REL-00352,1,320.0,88.47288880000063,26.99628615000734,0.004337539432176656,0.0,1.7169073542624482,11.473762512207031,1
SEG247591,2025-02-06,1,bronze,0.4506,landslide+flood,corridor_landslides,CLS-REL-00352,2,320.0,88.47288880000063,26.99628615000734,0.004337539432176656,0.0,1.5795547659214526,11.473762512207031,1
SEG289561,2010-06-18,1,bronze,0.3603,landslide,coolr_glc,GLC-1993,2,630.2,88.31396302861225,26.801995484724728,0.004337539432176656,87.49991500000033,151.64217220122973,2.157399892807007,1
SEG289589,2010-06-18,1,bronze,0.2077,landslide,coolr_glc,GLC-1993,2,571.8,88.31072428519556,26.80570073573586,0.004337539432176656,87.49991500000033,151.64217220122973,1.0972065925598145,1
SEG289590,2010-06-18,1,bronze,0.2242,landslide,coolr_glc,GLC-1993,2,519.0,88.31125051275998,26.805793631255874,0.004337539432176656,87.49991500000033,151.64217220122973,1.041350245475769,1
SEG289609,2010-06-18,1,bronze,0.2221,landslide,coolr_glc,GLC-1993,2,502.5,88.31122850107572,26.8064453004397,0.004337539432176656,87.49991500000033,151.64217220122973,1.18652606010437,1
SEG302612,2017-07-04,1,silver,0.4808,landslide,coolr_glc,GLC-9955,1,574.3,87.0521032234882,27.163424451755223,0.004337539432176656,28.04890669999986,86.90849254119365,11.797146797180176,1
SEG250387,2010-04-17,1,silver,0.8653,landslide,coolr_glc,GLC-1756,0,254.4,88.61123077321002,27.321575900891492,0.005431093007467753,2.3077034999996613,30.701089961404826,28.881349563598633,2
SEG250621,2007-04-11,1,silver,0.8128,landslide,coolr_glc,GLC-57,0,1457.8,88.60534480321914,27.44159802072679,0.005431093007467753,38.57041200000049,49.57757043732738,19.37063217163086,2
SEG250621,2007-04-12,1,silver,0.6502,landslide,coolr_glc,GLC-57,1,1457.8,88.60534480321914,27.44159802072679,0.005431093007467753,37.15127200000052,52.507646802341185,19.37063217163086,2
SEG250621,2007-04-13,1,silver,0.6502,landslide,coolr_glc,GLC-57,2,1457.8,88.60534480321914,27.44159802072679,0.005431093007467753,25.757941660000142,47.31286811370405,19.37063217163086,2
SEG302612,2017-07-05,1,silver,0.4808,landslide,coolr_glc,GLC-9955,2,574.3,87.0521032234882,27.163424451755223,0.005431093007467753,19.60294369999974,97.88555613789816,11.797146797180176,1
SEG302853,2011-07-05,1,silver,0.7619,landslide,coolr_glc,GLC-3714,2,513.8,87.04545066849327,27.17627513170729,0.005431093007467753,35.40960600000017,96.09573364502334,11.429282188415527,1
SEG302854,2011-07-05,1,silver,0.7648,landslide,coolr_glc,GLC-3714,2,554.3,87.0448213491446,27.17636488646514,0.005431093007467753,35.40960600000017,96.09573364502334,14.15382194519043,1
SEG302855,2011-07-05,1,silver,0.734,landslide,coolr_glc,GLC-3714,2,467.6,87.0475449476939,27.1763937158101,0.005431093007467753,35.40960600000017,96.09573364502334,7.710809230804443,1
SEG247592,2025-02-04,1,bronze,0.5675,landslide+flood,corridor_landslides,CLS-REL-00352,0,420.1,88.47396833893687,26.9963315791588,0.007494646680942185,0.0,1.8744043450047425,15.39536190032959,1
SEG247592,2025-02-05,1,bronze,0.454,landslide+flood,corridor_landslides,CLS-REL-00352,1,420.1,88.47396833893687,26.9963315791588,0.007494646680942185,0.0,1.7169073542624482,15.39536190032959,1
SEG247592,2025-02-06,1,bronze,0.454,landslide+flood,corridor_landslides,CLS-REL-00352,2,420.1,88.47396833893687,26.9963315791588,0.007494646680942185,0.0,1.5795547659214526,15.39536190032959,1
SEG250387,2010-04-18,1,silver,0.6923,landslide,coolr_glc,GLC-1756,1,254.4,88.61123077321002,27.321575900891492,0.007494646680942185,13.823300499999277,39.35260591250287,28.881349563598633,2
SEG250387,2010-04-19,1,silver,0.6923,landslide,coolr_glc,GLC-1756,2,254.4,88.61123077321002,27.321575900891492,0.007494646680942185,14.613727499999186,39.30252793950264,28.881349563598633,2
SEG288454,2016-08-09,1,bronze,0.5329,landslide,coolr_glc,GLC-10008,0,812.8,88.13255717403739,26.792676389442082,0.007494646680942185,8.425466799999413,181.5766203699856,16.26984405517578,3
SEG290032,2010-06-18,1,bronze,0.4016,landslide,coolr_glc,GLC-1993,2,379.6,88.31599600586216,26.810708827900108,0.007494646680942185,87.49991500000033,151.64217220122973,3.335672616958618,1
SEG302632,2011-07-05,1,silver,0.8,landslide,coolr_glc,GLC-3714,2,356.7,87.04429497663457,27.172248156866438,0.007494646680942185,35.40960600000017,96.09573364502334,21.026859283447266,1
SEG302633,2011-07-05,1,silver,0.592,landslide,coolr_glc,GLC-3714,2,67.1,87.04827030715481,27.17270538068999,0.007494646680942185,35.40960600000017,96.09573364502334,18.8769588470459,1
SEG302633,2017-07-04,1,silver,0.3595,landslide,coolr_glc,GLC-9955,1,879.1,87.04827030715481,27.17270538068999,0.007494646680942185,28.04890669999986,86.90849254119365,18.8769588470459,1
SEG302637,2011-07-05,1,silver,0.8,landslide,coolr_glc,GLC-3714,2,235.3,87.04686920032002,27.17410750012299,0.007494646680942185,35.40960600000017,96.09573364502334,12.335875511169434,1
SEG302852,2011-07-05,1,silver,0.7467,landslide,coolr_glc,GLC-3714,2,410.2,87.0476124419168,27.17588006950473,0.007494646680942185,35.40960600000017,96.09573364502334,8.190403938293457,1
SEG306907,2015-10-08,1,silver,0.4343,landslide,coolr_glc,GLC-8677,0,4677.2,87.60138925186948,27.30456256571296,0.007494646680942185,0.0,18.85821345826679,22.079965591430664,4
SEG306907,2015-10-09,1,silver,0.3474,landslide,coolr_glc,GLC-8677,1,4677.2,87.60138925186948,27.30456256571296,0.007494646680942185,0.0,17.349556381605446,22.079965591430664,4
SEG179282,2007-08-04,1,bronze,0.2048,landslide,coolr_glc,GLC-152,2,104.6,87.27581017279101,26.460541017959308,0.0078125,17.281387770000038,239.79443298622056,1.5004502534866333,4
SEG179267,2007-08-04,1,bronze,0.1911,landslide,coolr_glc,GLC-152,2,168.4,87.276872202548,26.458428552046996,0.013888888888888888,17.281387770000038,239.79443298622056,1.8075828552246096,4
SEG250390,2010-04-17,1,silver,0.5928,landslide,coolr_glc,GLC-1756,0,619.0,88.60279786856458,27.323867849676272,0.013888888888888888,2.3077034999996613,30.701089961404826,21.20054054260254,2
SEG288454,2016-08-10,1,bronze,0.4263,landslide,coolr_glc,GLC-10008,1,812.8,88.13255717403739,26.792676389442082,0.013888888888888888,21.188045000002603,178.00759680074415,16.26984405517578,3
SEG302635,2011-07-05,1,silver,0.8,landslide,coolr_glc,GLC-3714,2,159.8,87.04794957704446,27.17363683581262,0.013888888888888888,35.40960600000017,96.09573364502334,14.95909595489502,1
SEG179268,2007-08-02,1,bronze,0.2468,landslide,coolr_glc,GLC-152,0,295.6,87.27870780893662,26.4590605883768,0.01551094890510949,62.952706999999464,284.73697963423774,1.891518235206604,4
SEG179268,2007-08-03,1,bronze,0.1974,landslide,coolr_glc,GLC-152,1,295.6,87.27870780893662,26.4590605883768,0.01551094890510949,31.601747769999747,262.3858150334987,1.891518235206604,4
SEG247598,2025-02-04,1,bronze,0.562,landslide+flood,corridor_landslides,CLS-REL-00352,0,437.8,88.4659018230997,26.99352784269616,0.01551094890510949,0.0,1.8744043450047425,17.743518829345703,1
SEG247911,2025-02-04,1,bronze,0.4914,landslide+flood,corridor_landslides,CLS-REL-00352,0,2768.6,88.4975543600572,26.990861140677076,0.01551094890510949,0.0,1.8744043450047425,24.55798721313477,1
SEG250390,2010-04-19,1,silver,0.4743,landslide,coolr_glc,GLC-1756,2,619.0,88.60279786856458,27.323867849676272,0.01551094890510949,14.613727499999186,39.30252793950264,21.20054054260254,2
SEG283881,2010-08-25,1,bronze,0.4599,landslide,coolr_glc,GLC-2328,1,771.8,87.86564987239542,27.135265550893358,0.01551094890510949,9.914769999999407,138.5044315957084,26.33628845214844,3
SEG290026,2010-06-18,1,bronze,0.3728,landslide,coolr_glc,GLC-1993,2,281.0,88.31889184554987,26.8080837219987,0.01551094890510949,87.49991500000033,151.64217220122973,3.3737905025482178,1
SEG290029,2010-06-18,1,bronze,0.3787,landslide,coolr_glc,GLC-1993,2,208.2,88.3177690900568,26.808543133620947,0.01551094890510949,87.49991500000033,151.64217220122973,3.377171754837036,1
SEG302613,2017-07-04,1,silver,0.4621,landslide,coolr_glc,GLC-9955,1,617.2,87.05125069593542,27.1635004043587,0.01551094890510949,28.04890669999986,86.90849254119365,12.581562995910645,1
