segment_id,date,target,label_tier,label_confidence,hazard,label_source,event_id,persist_day,snap_dist_m,seg_lon,seg_lat,p_cal,rain_3d_mm,api_mm,slope_mean_deg,spatial_fold
SEG282935,2024-10-08,0,negative,0.7,none,hard_negative_matched,,0,,87.51763539965701,26.994132725807347,0.8666666666666667,1.4348240999970585,136.05624833281405,11.616538047790527,3
SEG284271,2016-10-11,0,negative,0.7,none,hard_negative_matched,,0,,87.89148636320225,27.18561272150048,0.8666666666666667,26.18370000000141,115.51529797721489,26.548715591430664,3
SEG247786,2007-07-24,0,negative,0.7,none,hard_negative_matched,,0,,88.53891090796031,26.932821797397793,0.8666666666666667,60.29206880000038,278.0392344434423,24.37490463256836,2
SEG302311,2010-09-08,0,negative,0.7,none,hard_negative_matched,,0,,87.20239906495902,26.905491978097984,0.8666666666666667,42.75433900000098,158.06177866684175,27.396345138549805,1
SEG247786,2009-09-02,0,negative,0.7,none,hard_negative_matched,,0,,88.53891090796031,26.932821797397793,0.8666666666666667,59.864308999998684,264.68139345607494,24.37490463256836,2
SEG292330,2009-08-22,0,negative,0.7,none,hard_negative_matched,,0,,88.13382030624297,26.909428883313005,0.8666666666666667,134.455324999999,371.6675819027622,14.47769546508789,3
SEG293087,2009-09-05,0,negative,0.7,none,hard_negative_matched,,0,,87.9912642283909,27.107122598033424,0.8666666666666667,6.358733999999458,131.04029186779596,18.96955108642578,3
SEG250037,2015-06-14,0,negative,0.7,none,hard_negative_matched,,0,,88.64262475000776,27.103193500003425,0.8666666666666667,43.08054700000139,122.91656105283357,26.921205520629883,1
SEG247878,2020-07-21,0,negative,0.7,none,hard_negative_matched,,0,,88.53512187161978,26.940247190809323,0.8666666666666667,70.03936259999318,262.0092604043514,25.72710418701172,2
SEG282466,2013-10-15,0,negative,0.7,none,hard_negative_matched,,0,,87.9457676927051,27.008896949693803,0.8666666666666667,110.84976300000017,146.72087827595917,19.86034393310547,3
SEG282448,2014-08-22,0,negative,0.7,none,hard_negative_matched,,0,,87.9492159689114,26.99453032967109,0.8095238095238095,85.33067200000005,208.23046912423212,23.23033142089844,3
SEG225222,2010-07-02,0,negative,0.7,none,hard_negative_matched,,0,,89.92076683617091,26.923733385531108,0.8095238095238095,14.337842500000988,252.1903562314195,28.05723762512207,2
SEG292361,2024-10-11,0,negative,0.7,none,hard_negative_matched,,0,,88.14405720975087,26.917159833426776,0.8095238095238095,19.576265000003332,141.58484857217874,21.910070419311523,3
SEG283472,2018-07-23,0,negative,0.7,none,hard_negative_matched,,0,,87.9305930686992,26.99657456086634,0.8095238095238095,65.66398590000244,146.58887089629147,15.23192024230957,3
SEG238398,2010-06-17,0,negative,0.7,none,hard_negative_matched,,0,,88.87269421116032,27.03989483846652,0.8095238095238095,46.26784989999942,111.01839538351467,8.393365859985352,0
SEG306350,2009-10-15,0,negative,0.7,none,hard_negative_matched,,0,,87.77176237861649,27.16565168967682,0.8095238095238095,0.0,94.18843130325848,24.08123779296875,3
SEG283472,2010-07-19,0,negative,0.7,none,hard_negative_matched,,0,,87.9305930686992,26.99657456086634,0.8095238095238095,69.12137000000075,220.87437881295241,15.23192024230957,3
SEG293087,2015-06-12,0,negative,0.7,none,hard_negative_matched,,0,,87.9912642283909,27.107122598033424,0.8095238095238095,84.90259700000024,130.60747490193228,18.96955108642578,3
SEG225305,2009-07-04,0,negative,0.7,none,hard_negative_matched,,0,,89.91641012279577,26.933111555976126,0.7777777777777778,89.19980000000032,262.52135419342545,27.010595321655273,2
SEG284031,2024-10-10,0,negative,0.7,none,hard_negative_matched,,0,,87.84529184617652,27.160717097410675,0.7777777777777778,33.2815929999997,141.0402584164804,26.9427433013916,3
SEG225398,2009-08-25,0,negative,0.7,none,hard_negative_matched,,0,,89.98947471748913,26.968409815617857,0.6538461538461539,35.57204660000025,365.69889236254176,20.643781661987305,2
SEG252189,2018-07-06,0,negative,0.7,none,hard_negative_matched,,0,,88.7959858331266,27.142294220266553,0.6538461538461539,88.7688330000019,155.79238487133037,17.589160919189453,0
SEG282795,2018-09-06,0,negative,0.7,none,hard_negative_matched,,0,,87.53948716325257,26.841787408577225,0.6538461538461539,41.937271599999804,161.3670390013641,28.90508460998535,3
SEG225279,2012-10-08,0,negative,0.7,none,hard_negative_matched,,0,,89.94755168648439,26.930926843029614,0.6538461538461539,1.8215405000009923,125.3562825041921,12.10216236114502,2
SEG247955,2017-07-24,0,negative,0.7,none,hard_negative_matched,,0,,88.51490642926281,27.13769235077514,0.6538461538461539,67.0705710000002,223.1930842466303,16.544963836669922,1
SEG225221,2011-07-06,0,negative,0.7,none,hard_negative_matched,,0,,89.95070169955015,26.923512934622643,0.6538461538461539,41.810999999999694,260.1890756152328,15.77443790435791,2
SEG289141,2011-08-26,0,negative,0.7,none,hard_negative_matched,,0,,88.07506075815479,26.89260035064571,0.6538461538461539,89.6183134999992,257.489760908969,15.12702465057373,3
SEG250068,2025-10-15,0,negative,0.7,none,hard_negative_matched,,0,,88.64277853621621,27.106141417072383,0.6538461538461539,0.0,89.92060376646175,19.2341365814209,1
SEG252701,2011-09-19,0,negative,0.7,none,hard_negative_matched,,0,,88.83090574999986,27.386830750000343,0.6538461538461539,45.33264831999986,66.0778293865425,9.843714714050291,1
SEG284299,2012-09-05,0,negative,0.7,none,hard_negative_matched,,0,,87.90891439035578,27.27539795774771,0.453125,42.275611999999455,155.1902214809512,27.7614688873291,1
SEG281733,2020-08-01,0,negative,0.7,none,hard_negative_matched,,0,,87.94918755100016,26.88228237979573,0.453125,32.25790870000128,261.7280107170692,26.49431800842285,3
SEG292352,2015-09-13,0,negative,0.7,none,hard_negative_matched,,0,,88.13695146405344,26.913947686804875,0.453125,53.85874099999637,228.4504672208606,14.61924934387207,3
SEG289215,2014-07-23,0,negative,0.7,none,hard_negative_matched,,0,,88.10241914766937,26.91954677923867,0.453125,56.4854164999997,196.68691881285025,17.12984275817871,3
SEG282280,2012-08-08,0,negative,0.7,none,hard_negative_matched,,0,,87.83674673927965,26.940182712607353,0.453125,9.555179299999509,136.55381925307788,10.352603912353516,3
SEG283944,2016-07-20,0,negative,0.7,none,hard_negative_matched,,0,,87.98342909982176,27.118726439527897,0.453125,86.94414730000062,140.10285614633617,20.753572463989254,3
SEG289673,2023-07-26,0,negative,0.7,none,hard_negative_matched,,0,,88.17014354229131,26.818905187415925,0.453125,42.79718000000139,211.37870061178515,27.688692092895508,3
SEG292748,2023-07-26,0,negative,0.7,none,hard_negative_matched,,0,,88.12277049104028,26.944456529060062,0.453125,42.79718000000139,211.37870061178515,13.524179458618164,3
SEG292749,2010-07-03,0,negative,0.7,none,hard_negative_matched,,0,,88.12111343392864,26.94554611792978,0.453125,89.3308219999999,251.00302906038192,16.25322723388672,3
SEG304834,2025-10-05,0,negative,0.7,none,hard_negative_matched,,0,,87.37910662626028,27.21173224462805,0.453125,70.59238399999958,131.13288220133228,18.656707763671875,1
