probe,bucket,n,n_pos,base_rate,AP,ROC_AUC,lift_vs_chance
snap_dist_m,"[0, 500)",89167,2241,0.02513261632666794,0.1195577957695248,0.8538032056748572,4.757077186693984
snap_dist_m,"[500, 2000)",91246,4320,0.04734454113057011,0.20279268355682234,0.8649281974940797,4.283338241626345
snap_dist_m,"[2000, 5000)",88138,1212,0.013751162949011776,0.041285945291385406,0.8261810964130257,3.00236026905291
snap_dist_m,"[5000, 1e+09)",87196,270,0.0030964723152438183,0.012781971195091738,0.8579285829326093,4.127913927137849
label_confidence,"[0, 0.25)",87100,174,0.0019977037887485647,0.0030186443002313563,0.6875644126950629,1.5110570031617883
label_confidence,"[0.25, 0.35)",87269,343,0.0039303761931499155,0.010342726655278694,0.7983433380451815,2.631485167578765
label_confidence,"[0.35, 0.5)",90209,3283,0.03639326453014666,0.1504630390421722,0.8581663030309079,4.134364998158792
label_confidence,"[0.5, 1.01)",91169,4243,0.04653994230495015,0.20047275744160295,0.8654270699333637,4.307542027620434
