event_id,best_rank,n_segments,n_rows,scored_that_day,date,tier,source,hazard,max_score,mean_conf,min_snap_m
GLC-1995,2.0,20,60,71,2010-06-16,bronze,coolr_glc,landslide,0.3191964285714285,0.45765,106.9
CLS-REL-00332,3.0,20,60,46,2018-07-05,bronze,corridor_landslides,landslide+flood,0.23100450740502254,0.2899583333333334,40.4
GLC-6783,3.0,2,6,41,2012-07-19,silver,coolr_glc,landslide,0.23100450740502254,0.5146833333333333,8.7
GLC-6459,3.0,20,60,58,2014-08-04,bronze,coolr_glc,landslide,0.27438393042037695,0.4430366666666667,173.9
GLC-3813,3.0,20,60,57,2011-07-20,bronze,coolr_glc,landslide,0.27438393042037695,0.4824616666666667,417.1
GLC-4505,3.0,20,60,53,2012-08-21,silver,coolr_glc,landslide,0.27438393042037695,0.7240966666666666,118.3
GLC-126,3.0,20,60,49,2007-07-16,bronze,coolr_glc,mudslide,0.2970760233918128,0.4981216666666667,386.2
GLC-4921,3.0,20,60,49,2013-06-15,bronze,coolr_glc,landslide,0.20632911392405062,0.49759833333333336,111.2
GLC-2341,3.0,20,60,119,2010-08-26,bronze,coolr_glc,landslide,0.27438393042037695,0.457775,58.6
GLC-231,3.0,20,60,102,2007-09-05,silver,coolr_glc,landslide,0.3247422680412371,0.8209783333333333,194.6
GLC-6146,3.0,20,60,44,2014-07-15,silver,coolr_glc,landslide,0.2970760233918128,0.5887966666666667,63.2
GLC-7034,3.0,5,15,163,2015-06-30,silver,coolr_glc,landslide,0.34965034965034963,0.5533466666666667,331.7
GLC-94,4.0,20,60,53,2007-06-15,bronze,coolr_glc,landslide,0.23100450740502254,0.33858333333333335,476.9
GLC-10021,4.0,20,60,74,2016-08-09,silver,coolr_glc,landslide,0.27438393042037695,0.6198133333333333,945.8
GLC-1031,4.0,20,60,47,2009-05-26,silver,coolr_glc,landslide,0.3191964285714285,0.8196516666666667,112.2
GLC-2109,4.0,20,60,94,2010-07-21,bronze,coolr_glc,landslide,0.2970760233918128,0.45202,1089.1
GLC-1061,4.0,3,9,50,2009-07-01,silver,coolr_glc,landslide,0.2405271828665569,0.6987222222222222,53.2
GLC-4549,4.0,20,60,92,2012-09-14,silver,coolr_glc,landslide,0.2405271828665569,0.6254816666666667,924.8
GLC-9747,5.0,3,9,54,2017-06-04,silver,coolr_glc,landslide,0.10041224970553593,0.5273777777777777,225.8
GLC-6292,5.0,20,60,48,2014-09-23,silver,coolr_glc,landslide,0.23100450740502254,0.72453,241.1
GLC-1110,5.0,20,60,148,2009-08-20,bronze,coolr_glc,landslide,0.453125,0.46512,280.0
GLC-9955,5.0,20,60,72,2017-07-03,silver,coolr_glc,landslide,0.20632911392405062,0.4949483333333333,297.8
GLC-4411,5.0,20,60,54,2012-06-14,silver,coolr_glc,landslide,0.2405271828665569,0.8458450000000001,93.1
GLC-5079,5.0,20,60,57,2013-07-11,bronze,coolr_glc,mudslide,0.23100450740502254,0.47468333333333335,147.7
GLC-4552,5.0,20,60,92,2012-09-14,silver,coolr_glc,landslide,0.23100450740502254,0.7252616666666667,200.1
GLC-11180,6.0,20,60,72,2017-07-08,bronze,coolr_glc,landslide,0.27438393042037695,0.44470333333333334,295.6
