segment_id,date,score,label_tier,hazard,rain_1d_mm,rain_7d_mm,api_mm,slope_mean_deg,elevation_mean,highway,label_confidence
SEG286013,2007-06-13,0.005969469127363863,bronze,landslide,1.3640015000000858,1.3640015000000858,54.92195956714146,1.8100554943084717,66.3731689453125,residential,0.2988
SEG286013,2007-06-14,0.005969469127363863,bronze,landslide,16.77854000000025,18.142541500000334,67.30674280177014,1.8100554943084717,66.3731689453125,residential,0.239
SEG286020,2007-06-13,0.005969469127363863,bronze,landslide,1.3640015000000858,1.3640015000000858,54.92195956714146,1.7526534795761108,64.77254486083984,unclassified,0.3353
SEG286020,2007-06-14,0.005969469127363863,bronze,landslide,16.77854000000025,18.142541500000334,67.30674280177014,1.7526534795761108,64.77254486083984,unclassified,0.2682
SEG286024,2007-06-13,0.005969469127363863,bronze,landslide,1.3640015000000858,1.3640015000000858,54.92195956714146,1.7946808338165283,82.16826629638672,trunk,0.3253
SEG286024,2007-06-14,0.005969469127363863,bronze,landslide,16.77854000000025,18.142541500000334,67.30674280177014,1.7946808338165283,82.16826629638672,trunk,0.2602
SEG286136,2007-06-13,0.005969469127363863,bronze,landslide,1.3640015000000858,1.3640015000000858,54.92195956714146,1.973763346672058,67.30873107910156,residential,0.3248
SEG286136,2007-06-14,0.005969469127363863,bronze,landslide,16.77854000000025,18.142541500000334,67.30674280177014,1.973763346672058,67.30873107910156,residential,0.2599
SEG286166,2007-06-13,0.005969469127363863,bronze,landslide,1.3640015000000858,1.3640015000000858,54.92195956714146,1.6509993076324463,98.55809783935548,trunk,0.3049
SEG286166,2007-06-14,0.005969469127363863,bronze,landslide,16.77854000000025,18.142541500000334,67.30674280177014,1.6509993076324463,98.55809783935548,trunk,0.2439
SEG286171,2007-06-13,0.005969469127363863,bronze,landslide,1.3640015000000858,1.3640015000000858,54.92195956714146,1.973971962928772,97.17854309082033,trunk,0.35
SEG286171,2007-06-14,0.005969469127363863,bronze,landslide,16.77854000000025,18.142541500000334,67.30674280177014,1.973971962928772,97.17854309082033,trunk,0.28
SEG286172,2007-06-13,0.005969469127363863,bronze,landslide,1.3640015000000858,1.3640015000000858,54.92195956714146,1.9321168661117551,111.83609771728516,trunk,0.345
SEG286172,2007-06-14,0.005969469127363863,bronze,landslide,16.77854000000025,18.142541500000334,67.30674280177014,1.9321168661117551,111.83609771728516,trunk,0.276
SEG286202,2007-06-13,0.015122873345935728,bronze,landslide,1.3640015000000858,1.3640015000000858,54.92195956714146,2.873110055923462,79.6971435546875,unclassified,0.4376
