group_type,group,n,n_pos,base_rate,AP,AP_over_base,roc_auc,mean_score
overall,all,8277,1344,0.16237767306995288,0.37600301127272495,2.31560783058359,0.7878677632166382,0.11565554917973761
label_tier,gold,6936,3,0.00043252595155709344,0.1208791208791209,279.4725274725275,0.9977643155920958,0.09525159239612631
label_tier,silver,7194,261,0.03628023352793995,0.19902681383426535,5.485819535339865,0.82685728148955,0.10117900274163807
label_tier,bronze,8013,1080,0.1347809809060277,0.3105810101502999,2.3043385503095863,0.7778622503218637,0.11068714271417333
hazard,landslide,7797,864,0.11081185071181224,0.29245541602559816,2.6392070355921167,0.7967952018259425,0.10934098860253973
hazard,landslide+flood,7293,360,0.04936240230357877,0.0985002783585146,1.9954514724129084,0.7563708992419508,0.09904060026174304
hazard,flood,7053,120,0.017014036580178648,0.3642699797327069,21.409968058789847,0.8180807971537093,0.0993404337599111
spatial_block,BLK_004_006,1978,126,0.06370070778564206,0.19176612161940096,3.010423718755358,0.6305538414069731,0.18016501770139162
spatial_block,BLK_004_007,646,60,0.09287925696594428,0.12983739877461498,1.3979159934733545,0.6434300341296928,0.17651742211919347
spatial_block,BLK_005_004,3374,120,0.03556609365737996,0.43731381637602584,12.295806803772594,0.8873489039131325,0.022238584601227872
spatial_block,BLK_006_008,1265,969,0.7660079051383399,0.8563087534660228,1.1178850083947562,0.6611528323989624,0.21104723685329843
spatial_block,BLK_009_005,1011,66,0.06528189910979229,0.09141084023357184,1.400247870850623,0.6723905723905723,0.14175319409522127
slope_deg,"[0, 2.5)",3057,39,0.012757605495583905,0.06343381784553916,4.972235414200338,0.7700973645307642,0.014551447236785935
slope_deg,"[2.5, 10)",634,129,0.20347003154574134,0.5637816020214216,2.7708336099347384,0.8175761762222733,0.0923381304290811
slope_deg,"[10, 20)",1515,219,0.14455445544554454,0.2704440853006096,1.8708803161206555,0.6680125711708665,0.1678675976556172
slope_deg,"[20, 90)",3071,957,0.31162487788993815,0.39696884340561067,1.2738676260173776,0.5773126165909906,0.19535507040623123
season,monsoon,6172,1055,0.17093324692158132,0.2873500300068866,1.681065767964459,0.7180185553776233,0.1234396323140472
season,dry,2105,289,0.13729216152019003,0.7240011286080031,5.273433826020231,0.9465630382756887,0.0928320997237002
highway,unclassified,3216,648,0.20149253731343283,0.356615686834658,1.7698704457720065,0.6688522797200107,0.16146446161265612
highway,residential,2954,180,0.06093432633716994,0.35877981114153407,5.887975345067176,0.9080839942321559,0.05797798142781963
highway,track,952,33,0.03466386554621849,0.09004074763135299,2.5975391437893345,0.7910607709301942,0.09606627742338526
highway,tertiary,682,219,0.32111436950146627,0.5165573074256032,1.6086396514349837,0.7683264790871525,0.14438292946965328
highway,secondary,284,192,0.676056338028169,0.8080960082725748,1.1953086789031835,0.7168817934782609,0.22237543573483215
highway,trunk,97,45,0.4639175257731959,0.5612750019412901,1.209859448629003,0.6521367521367522,0.05413597710816502
soil,soil NODATA,1489,96,0.06447280053727333,0.48380245909163483,7.503977724869212,0.8183776022972002,0.03388192932603158
soil,soil present,6788,1248,0.18385385975250443,0.3663750598605684,1.9927515275108478,0.7551414392992686,0.13359322153715783
period,2007-2012,2791,669,0.23969903260480116,0.41699157055640157,1.7396464475678874,0.750447655636939,0.1251991198068433
period,2013-2018,2140,135,0.0630841121495327,0.3448613717414062,5.46669137427118,0.8882312736676826,0.11186550433798921
period,2019-2026,3346,540,0.16138673042438734,0.41032647641542785,2.542504426085225,0.8104089121195323,0.11011896530080442
