segment_id,date,score,label_tier,hazard,rain_1d_mm,rain_7d_mm,api_mm,slope_mean_deg,elevation_mean,highway,label_confidence
SEG293230,2012-08-25,0.7727272727272727,negative,none,93.68733000000066,151.84157770000093,204.05033454714277,15.100505828857422,1925.8822021484375,residential,0.7
SEG293230,2025-08-01,0.6710526315789473,negative,none,0.0,104.04170100000192,149.16733574911683,15.100505828857422,1925.8822021484375,residential,0.7
SEG226533,2012-07-12,0.6710526315789473,negative,none,18.317057000000204,216.97616259999995,253.05619780313185,10.837037086486816,585.0657348632812,residential,0.7
SEG291901,2009-07-08,0.6710526315789473,negative,none,0.0,161.92355570000018,231.69275965527163,17.009546279907227,282.63922119140625,residential,0.7
SEG239459,2012-06-06,0.6710526315789473,negative,none,7.835026000000653,95.76800600000206,127.3892723193554,12.717004776000977,1035.8653564453125,residential,0.7
SEG226533,2019-07-17,0.6710526315789473,negative,none,21.628061000003072,219.68682299999637,261.53355396818756,10.837037086486816,585.0657348632812,residential,0.7
SEG308717,2009-07-12,0.6420664206642065,negative,none,29.872566000000006,95.57186999999976,140.33915931101106,13.25788116455078,1452.251953125,secondary,0.7
SEG291902,2025-08-28,0.6420664206642065,negative,none,7.504068399997777,131.74030139999377,170.26077142045764,12.710081100463867,316.92584228515625,unclassified,0.7
SEG291894,2024-10-11,0.5733333333333334,negative,none,0.0,32.23990643000434,130.38759077491645,22.31852912902832,573.6022338867188,unclassified,0.7
SEG226688,2014-10-03,0.5641025641025641,negative,none,0.0,27.39196599999923,74.14511082002655,29.81254196166992,113.2680435180664,secondary,0.7
SEG308547,2016-10-10,0.5641025641025641,negative,none,2.3504042999993544,2.970893359997717,68.08483868524755,29.873573303222656,2464.59716796875,track,0.7
SEG291898,2015-09-17,0.5641025641025641,negative,none,0.0,109.48218192000058,169.4965518535049,21.08144760131836,461.1196594238281,residential,0.7
SEG226533,2024-10-22,0.5549132947976878,negative,none,0.0,0.0,46.717628744824566,10.837037086486816,585.0657348632812,residential,0.7
SEG307800,2010-09-15,0.5549132947976878,negative,none,5.257824000000255,131.74240049999935,159.8728313512839,19.173738479614254,1338.71142578125,residential,0.7
SEG293231,2024-08-21,0.5549132947976878,negative,none,0.0,62.92881800000032,87.57337297998093,12.100607872009276,2426.26025390625,residential,0.7
