n_rows,median_sec,per_row_us,rows_per_sec,projected_corridor_sec
1000,0.00531450001290068,5.315,188164,1.642
10000,0.031454833020688966,3.145,317916,0.972
50000,0.15520187499350868,3.104,322161,0.959
100000,0.3328665829903912,3.329,300420,1.029
