split,label_source,n_positives,share_of_positives,mean_rain_7d_mm
dev,coolr_glc,7263,0.9030212607236106,100.99161896739773
dev,corridor_landslides,660,0.08205893323386795,76.67249716484875
dev,reliefweb_events,120,0.014919806042521447,0.08708973666665164
locked test,coolr_glc,741,0.5513392857142857,84.67488948340083
locked test,corridor_landslides,480,0.35714285714285715,48.11021420937451
locked test,reliefweb_events,120,0.08928571428571429,13.193679333582804
locked test,verified_segment_label,3,0.002232142857142857,43.99863066666512
