column,AP,delta,error
highway,0.35320077369307856,-0.021055188153042248,
surface,0.3662507671727043,-0.008005194673416538,
landcover_class,0.37259859398625944,-0.0016573678598613695,
lithology_class,0.3509615958262792,-0.023294366019841584,
