group,n_cols,AP,delta,pct_of_baseline
seasonal,4,0.3084385341311164,-0.06581742771500443,82.41379311892807
hydrology,4,0.3342225159870193,-0.04003344585910151,89.30319087994603
road,6,0.35311105485236965,-0.021144906993751156,94.35014825429953
landcover_lithology,2,0.35611268632497634,-0.018143275521144475,95.15217461556317
soil,8,0.35975957727460417,-0.01449638457151664,96.12661225221123
rainfall_provenance,1,0.36404996427021863,-0.010205997575902181,97.27298998109255
(none — baseline),0,0.3742559618461208,0.0,100.0
terrain,6,0.3745871337740001,0.0003311719278792924,100.08848808346184
rainfall,14,0.4862288756207396,0.11197291377461877,129.91880562764624
