tree_fraction,mean_trees,mean_AP,delta_vs_full,worst_fold_delta,pct_of_full_AP,n_trees,model_kb,per_row_us,full_corridor_sec
0.1,104.8,0.38049801163263436,-0.0070560191295471865,-0.05007856407293543,98.17934569905763,120,77.0,0.306,0.095
0.25,262.4,0.38911045748621076,0.001556426724029203,-0.024008081658590807,100.40160251229184,300,182.9,0.766,0.237
0.5,524.6,0.38514610548765627,-0.00240792527452528,-0.015621017165374562,99.37868656151254,600,358.5,1.475,0.456
0.75,786.4,0.3862253638550529,-0.001328666907128706,-0.004881541092028041,99.65716602030545,899,533.7,2.347,0.725
1.0,1048.8,0.38755403076218153,0.0,0.0,100.0,1199,709.9,3.077,0.951
