number,value,state,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight_mult,params_subsample,params_use_monotone,duration
0,0.416746710684836,COMPLETE,0.4348501673009197,0.03830550353885683,12,147,0.6011150117432088,10,0.004688574837063985,0.005407712220288121,2.708160864249967,0.9330880728874675,True,0 days 00:00:18.131768
1,0.3617483674547685,COMPLETE,0.6591670111852694,0.009329979812452458,5,19,0.6118528947223795,40,0.02034955951308026,0.29229052129200933,0.347664915059262,0.645614570099021,False,0 days 00:00:09.936927
2,0.4173425606423194,COMPLETE,0.764526911140863,0.02874462340995989,10,20,0.06505159298527952,13,0.35317733939252877,0.0016529856983237869,1.5635108708133456,0.5852620618436457,False,0 days 00:00:19.526774
3,0.41155856323641005,COMPLETE,0.42063311266913106,0.022342337512522917,3,123,0.2587799816000169,9,0.003348806922007395,0.21223717067582065,0.5864129169696526,0.954660201039391,True,0 days 00:00:14.334014
4,0.4063888810677308,COMPLETE,0.758739987286651,0.06981281868507881,4,357,0.0884925020519195,17,10.985330528057919,16.023850290194936,0.30237950125584745,0.9609371175115584,True,0 days 00:00:09.526555
5,0.39489563927189625,COMPLETE,0.4845545349848576,0.016824335720939766,5,211,0.07455064367977082,11,0.01615502941004844,0.35490540727547626,0.19657448966046126,0.9010984903770198,True,0 days 00:00:13.019284
6,0.42966127332344145,COMPLETE,0.6150794371265635,0.05967631354255268,11,134,0.8631034258755935,4,2.0761412428876658,0.0022280944532589255,0.1241318963529422,0.5579345297625649,True,0 days 00:00:09.163141
7,0.4167098112118084,COMPLETE,0.471756547562981,0.0437239809466156,6,146,0.7607850486168974,9,6.545285853960301,0.16554793541373167,0.5362853964441845,0.8566223936114975,False,0 days 00:00:10.645523
8,0.445963366792265,PRUNED,0.588613588645796,0.007216701203169444,7,10,0.907566473926093,16,0.001365142132015572,0.9783031073802871,1.3062931388340917,0.7542853455823514,False,0 days 00:00:10.024451
9,0.4755095595041514,PRUNED,0.780042253906254,0.008651937917102942,3,28,0.8036720768991145,7,9.969135285970443,6.27095123349131,0.6261435181296005,0.9357302950938589,False,0 days 00:00:07.097707
10,0.4247686091891774,COMPLETE,0.8341360820981809,0.07354177746097651,12,72,0.3813465614389097,4,1.5516153324763804,0.5538829977236779,0.15102930590323618,0.7058876826009844,True,0 days 00:00:08.826035
11,0.4377520671890824,COMPLETE,0.8377377001208597,0.04155875441958397,11,291,0.7313426171193058,4,2.2987902193148715,0.23318685019107294,0.10765574899335255,0.6384848587687845,True,0 days 00:00:11.430990
12,0.4205174945502592,COMPLETE,0.6267793308996432,0.0586789867178495,11,226,0.9115192203495242,9,2.4404364466755597,0.06611393795540134,0.15668492773525028,0.6773035383795267,True,0 days 00:00:12.436245
13,0.417344696707493,COMPLETE,0.7388926661505186,0.10214397345231706,11,185,0.6816122281074548,4,0.75077223502963,0.003803374249935911,0.12197596339689647,0.5931485369243992,True,0 days 00:00:09.380805
14,0.4311743965890537,COMPLETE,0.7465028596626412,0.05283425243488763,7,205,0.8035861968377881,6,1.1821232925382041,0.0650594943524714,0.10427522865698274,0.5024442458623504,True,0 days 00:00:12.179295
15,0.414561019760497,COMPLETE,0.8395727397865486,0.02935175736522661,7,125,0.7449230746642215,7,0.36089605797677965,0.042301397301834034,0.1649145616743793,0.5107757316636168,True,0 days 00:00:10.879326
16,0.42214988741717535,COMPLETE,0.8053578108272232,0.07964647023104152,7,349,0.994572359357783,6,5.039112124634294,0.04421498680903919,0.10934131459567994,0.5899866103686207,True,0 days 00:00:04.785267
17,0.506923424836946,PRUNED,0.6772611432810475,0.04925791282116283,8,167,0.9863259475692953,10,14.001900677251372,0.00913646454308176,0.2089273865768049,0.548740247287085,True,0 days 00:00:06.841215
18,0.4245469962035007,COMPLETE,0.7947869123194753,0.10569564889966072,3,248,0.6797438248040163,5,1.5938343053202328,0.45230125745339633,0.1057217654351067,0.512419264334386,True,0 days 00:00:09.875188
19,0.4357234541912944,COMPLETE,0.664290188386254,0.057799613406290425,7,114,0.994255711936705,4,6.085994643929027,0.06759727390055154,0.1140445105739588,0.5386075151756139,True,0 days 00:00:08.446815
20,0.5145435183373225,PRUNED,0.604984469459168,0.03872673821593526,9,158,0.9738420866359342,5,0.29996855486591056,0.008347659652519079,0.26962181957637144,0.5104718303141088,True,0 days 00:00:05.194550
21,0.5106666579122243,PRUNED,0.658485335928266,0.1038359100841884,9,62,0.8653387727020809,4,2.474735639258289,0.02734243831461078,0.18625116242713974,0.59954271385734,True,0 days 00:00:07.359001
22,0.4247904355710746,COMPLETE,0.7029201997323223,0.04903144423077207,7,107,0.8847333141382513,4,19.961860574907856,0.006172470956576945,0.20643809071965086,0.662559662172368,True,0 days 00:00:06.809398
23,0.4315579107443963,COMPLETE,0.7317414118002745,0.03586512016020265,9,103,0.6738040857897983,5,6.344506621947401,0.04720318860163885,0.11479663523639899,0.5200644497694676,True,0 days 00:00:07.670678
24,0.4681716839322084,PRUNED,0.8779921105351277,0.028398864956302946,10,259,0.7276776666683246,9,2.3338142049834634,0.36730452992039947,0.1150854099833391,0.5594226439717433,True,0 days 00:00:05.998518
25,0.43399152389618184,COMPLETE,0.7912141011274588,0.018715563064482903,10,137,0.48916914624043684,5,8.38886448049787,0.1356933350108386,0.11367014630232469,0.6499236517878726,True,0 days 00:00:10.047234
26,0.4397370593863203,COMPLETE,0.8531476828735367,0.03218814577630251,11,364,0.8392636293753901,4,1.9787843500081188,0.23696573020861914,0.1381132349355172,0.6971305573243116,True,0 days 00:00:08.859192
27,0.5197032647328789,PRUNED,0.904802844400285,0.06154495841520315,12,242,0.8490670698777281,5,0.6693497140549134,0.05595692113132304,0.12794117686280837,0.7887111939143943,True,0 days 00:00:08.391767
28,0.5012724259958089,PRUNED,0.6553473906043538,0.0384104656869005,7,62,0.9899339842924509,8,11.751254199545393,0.0329133770437722,0.15943338708994595,0.5444289372978561,True,0 days 00:00:08.104257
29,0.43498053042052903,COMPLETE,0.6500965419272536,0.027258411237522474,11,328,0.8298839210974018,4,4.089256074916953,0.3294670774283644,0.12011043150182768,0.5878755226157083,True,0 days 00:00:09.005564
30,0.5015630540319354,PRUNED,0.7476772989186824,0.04096273467842344,11,138,0.9656536649673475,5,6.964842464328178,0.23147404615853548,0.17176435162034298,0.5541741760596613,True,0 days 00:00:02.914026
31,0.5147986995580722,PRUNED,0.7858867686732861,0.039171714217787576,10,332,0.8027913692626373,5,6.660907648174174,0.8534901049706896,0.149086455545542,0.5569120220771604,True,0 days 00:00:05.324494
