feature,gain,split
slope_mean_deg,597310.8931435985,615
upslope_basin_area_km2,270599.0644252291,4319
rain_30d_mm,116929.27109625936,903
lithology_class,110194.80572652817,829
cell_dist_m,99560.55998087302,2717
nearest_river_discharge_cms,94854.60745336115,2659
slope_max_deg,93756.41780243558,490
doy_sin,93555.87156778947,1994
doy_cos,71774.28430506773,1732
rain_15d_mm,60954.61147323251,356
distance_to_nearest_river_m,57405.59012600407,1147
landcover_class,53624.816200494766,224
api_mm,44259.716358065605,252
rain_max_1d_in_3d_mm,41586.227170705795,235
highway,35374.795405864716,433
elevation_mean,33833.64166010916,601
soil_cfvo_0_5cm_cm3_dm3,31335.915081445128,620
rain_7d_mm,31087.909276008606,372
soil_soc_0_5cm_dg_kg,23321.56296256371,769
soil_bdod_0_5cm_cg_cm3,20636.829186826944,506
soil_phh2o_0_5cm_ph10,19984.610843092203,383
soil_silt_0_5cm_pct,19598.51669172477,637
month,17864.6773429811,260
aspect_mean_deg,15186.927981523797,542
soil_sand_0_5cm_pct,12329.501108604483,602
is_monsoon,11905.604219913483,157
days_since_rain,11893.163449645042,360
soil_clay_0_5cm_pct,11554.208569303155,493
nearest_river_order,7724.565251469612,208
aspect_sin,7543.840894196648,436
rain_3d_mm,6195.993786811829,143
aspect_cos,5283.588560238015,429
length_m,3170.842308747582,355
surface,3143.0287491083145,113
id_ratio_7d,2850.2446514368057,57
id_exceed_7d,2665.566313624382,118
rain_1d_mm,2268.6313480958343,128
id_ratio_3d,1406.3255982398987,27
id_ratio_1d,567.5487098693848,23
id_exceed_1d,544.6196212768555,47
id_exceed_3d,544.2105367183685,47
maxspeed,412.03370237350464,16
bridge,18.808429718017578,3
tunnel,0.0,0
soil_is_missing,0.0,0
